x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,y_NoeliaR,y_NoeliaM,y_Daniel,y_Gabriel,y_José,y_Gustavo,y_Federico,y_Guadalupe,y_Cristian,y_Natalia,y_Alejandro,y_Mauricio,y_Jorgelina
553.0428829890369,1212.594634452807,2942.9630519810466,-39.47231866564371,-1226.399891270525,2103.6011596132967,-90.59656596998764,-170.76114866306517,-743.9939054556926,334.9908472542731,338.7277446419782,-583.2456123801111,-830.7067601378676,132.07325573114227,95.64772016260115,-143.84145138967716,-306.2217014849336,266.95755354017365,-210.2236954253375,46.48194770174663,-219.60930505505254,-325.6183554369773,8.741164031996666,262.8213893195079,412.90636725707776,-129.29775208651054,-475.4700274604605,-104.50665948200115,-145.5146379270935,718.7095176861172,-155.3428336837375,-193.3930038668861,-354.1741215891585,-62.341500324681746,24.711746764799322,539.1977317624287,-28.94727199820892,-86.16234180694128,-72.26354990152667,49.77724863467498,0,0,0,1,0,0,0,0,0,0,0,0,0
1180.4819242283918,1964.9790779220607,3088.228966433651,263.57691035579074,50.161971602838406,741.1918734157726,-379.52385183093133,333.50363770756115,-844.8964255357214,689.5697647276857,541.2606817046594,162.39981558721803,-729.2283685727805,481.8652949711295,429.83808165055945,-96.82983988566825,-348.8688072179701,0.3125157217109119,154.18472696082304,-122.68986490719485,-669.575692736469,125.19908728590515,-907.8020532342485,206.69314943654643,711.8926220541332,477.1209770004144,-299.9649811213968,-426.2619235270898,-7.2605898107668905,1140.9556345262279,-89.33814707159118,775.130657204131,-266.54366092782374,-481.7262199542572,-592.1081803015346,480.5081034878727,-282.8848184734025,354.34755328274196,-238.34589921551182,69.70368563452496,0,0,0,1,0,0,0,0,0,0,0,0,0
-580.131729940747,-97.46669867861812,1637.8246584906328,-798.6328029850864,-1773.2914137327982,851.410476032689,-512.8809541571394,-522.6157177270841,-1149.3179916711256,23.223207289943197,-342.80645140122607,-635.0583310749493,244.7852071578531,-642.2828275790376,-653.5781308817157,-238.61613911435325,-539.9051193913721,221.16022188225,-100.43202897717852,-33.714340356487874,246.37806899636504,60.67135202634444,-191.7111699630751,-542.6786261737841,-115.41481457718348,409.9716656353437,246.10831222128982,-235.87869353793502,146.12114729911164,43.96590610551291,49.899203937959484,317.6861594442849,312.8474941891431,221.54029405506384,-89.91065795627216,-65.92531775736987,137.34733435417436,21.99058989183705,-408.4758031436942,-368.5505318885341,0,0,0,1,0,0,0,0,0,0,0,0,0
-231.15553779789022,1023.6771054389891,2987.6801290089065,-562.5769378771653,-2605.8701547859796,1452.0294909612887,-565.8978886017667,39.44029453902932,-679.8425093119944,196.62519763614478,-451.22538921320427,-848.2320962545318,-41.28036394689411,-48.81391351602274,-327.1317387964969,521.8300906874364,-583.9111225884791,608.3289117018196,329.12807492581516,243.5278218822242,-28.279521501516324,-242.08320347381462,196.23111950731368,-525.1450615630469,-274.43035955147604,-112.35412288751193,1273.37159903407,311.0808737370985,125.45265785697062,31.815775934848396,-112.66134972239375,58.01837118740891,300.0584877884543,454.4479498180977,395.8206145762891,-432.6201117554407,83.14285126916029,26.594440568478614,57.86941331606436,147.691199132503,0,0,0,1,0,0,0,0,0,0,0,0,0
-305.3200789238945,903.9738924387673,2943.574509943476,-689.2459950398393,-2597.729926528094,1524.0636095222683,-642.1329744359858,-86.76306066496308,-726.1518075832673,216.97064252011313,-415.79756432516456,-767.3676669389694,-24.775404792441766,-142.2248379459442,-365.2214764186851,476.24002244240125,-651.2450392598395,594.796557315195,311.18823234072767,158.27007508453184,46.05159202681732,-209.63738373197685,56.78827937076545,-591.7768272891527,-324.2004675252534,-64.08002614878743,1204.424208666599,326.4993670961512,59.5263650033323,45.855589425178074,-26.536412817402024,181.07069691482894,285.5976624863773,453.5593728389095,514.8404203500652,-555.7958795779666,180.47770099554253,113.37958866756443,64.07245080913371,101.69621888508922,0,0,0,1,0,0,0,0,0,0,0,0,0
-584.6390384631587,2505.739666865737,964.1862620297475,-530.1691544359205,-1372.3090131529812,852.335147066949,-793.2539791827134,820.1929359106089,594.5741015242974,103.152673924355,645.6682640316702,483.21107210461315,-482.23471320333084,-61.49126347577049,337.32861456930505,277.0925509437347,175.2300017157902,-342.13696143409743,-117.99307632960063,405.5675166304984,-396.6690753064829,301.6661175847805,34.382026832226025,604.4482228933606,555.7841523577165,325.9074846845432,169.3096927877749,358.0103596258319,-304.8069010174701,18.096876832579603,-19.13861702737695,-906.8567963577927,254.5342429720282,-337.6894895248097,219.64871040453917,112.43108096866223,194.76954864698928,267.03174113383704,644.2032953223714,471.56465400949776,0,0,0,1,0,0,0,0,0,0,0,0,0
-991.2366287842216,2614.6324131684464,1061.1535936283528,-950.1836558942401,-836.2285735752301,722.4846804240318,-716.8983894642172,60.495172065675284,946.1241437133026,-68.46919065761924,134.37638303124018,718.3305703115959,-48.179076519518595,-1061.007377282288,173.5829483364369,688.1123443666974,249.04741123108857,-180.24123442278096,189.7270145175656,-203.69250099998766,59.0840861382641,471.83683481714036,274.92272768695614,67.72660907369358,24.116156498414913,-255.6385062741121,424.8163756929029,-218.98827531471323,-590.2667104308692,148.23972730690323,336.36781508610727,385.2998089355268,59.172380511183434,-99.09488909819255,461.7773056068417,-214.42922983513026,92.92347655353466,172.72683387996923,147.94850438886036,-84.5046146328882,0,0,0,1,0,0,0,0,0,0,0,0,0
-780.3967833224889,2786.375513728627,673.9954733018855,-1019.7691090592236,-1268.9074603428144,1031.7294156083988,-890.9725223933697,53.41955320288308,714.0478718941126,-39.52700489461597,313.1444532469931,667.1088174868654,-182.7553736315243,-1204.9563577619188,655.5258450406524,475.34334139569336,240.336387352746,-209.8136959555018,-54.24405535331325,-177.26835116668744,-137.4688011472008,270.39027296488996,242.97144919363575,275.55248205499475,118.79787424901048,-28.080766132694304,180.3975721321096,-122.41954762345506,-296.5765248725495,-215.2598761574254,77.80936129838354,-41.22587493544752,76.34717495905097,19.10751780205662,576.3116930542724,-153.977585124631,200.14109771496382,177.0234429820119,235.1893131105928,115.39832947485634,0,0,0,1,0,0,0,0,0,0,0,0,0
249.7642652520677,2319.663474772363,3172.8022710082373,-14.706275518528486,-828.9216042081323,2700.11642390651,-1152.3974709564484,425.64773432482906,-30.53055504984544,-434.29738588508565,64.75704035917822,-753.6312198979159,-158.83556299153304,221.36323065061626,373.19621096993944,16.77893648783679,-211.55123916451035,68.63637820285233,-177.04364297563978,-558.1055393201923,-339.3144685132624,-485.10362268909375,373.624653457907,-160.1754452046342,-15.73547618788391,-518.8263399089653,-444.52235832836084,73.26284308236444,302.8865170172432,-161.34880575097822,-497.7280857332622,-332.3461115505285,4.1484676616368885,-139.01641018175582,227.92430524501765,652.621016307322,-297.6422428985714,-365.4115453908399,288.5957233019791,129.50970701680936,0,0,0,1,0,0,0,0,0,0,0,0,0
1865.1662209367641,3157.574205922588,2603.775863548106,-97.71637482534672,-221.1909926241952,1815.4745487507605,-126.93218453706936,85.88635715777187,-1452.5731324899823,-155.2773598938559,-417.9067522486618,-192.69474909919612,970.6660628844951,-779.5740697200263,154.66261673173565,-93.74440346196295,65.0891321461826,-329.49154041969086,36.65102140908609,101.02037543024082,895.4512620158486,1227.9774998082862,266.8542512654961,167.3996446842285,401.54034012937035,447.4102220164649,-466.1333034199725,87.98854529508267,-399.3508737864159,-130.7074775489608,-21.243694514493853,-537.1462906278148,-112.41806985863936,52.40615066671884,-376.6935248940726,46.44288696279864,-105.45397591797155,221.85089454509603,-271.8609040206588,-36.00137404090006,0,0,0,1,0,0,0,0,0,0,0,0,0
